,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
119,dispose,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/reopen-project-menu-manager.js,104,dispose,,,
120,dispose project menu,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/reopen-project-menu-manager.js,112,disposeProjectMenu,,,
121,create project menu,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/reopen-project-menu-manager.js,119,createProjectsMenu,,,
122,create label,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/reopen-project-menu-manager.js,135,createLabel,,,
123,well base name,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/reopen-project-menu-manager.js,141,betterBaseName,,,
124,destroy,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,40,destroy,,,
125,be alive,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,47,isAlive,,,
126,be destroy,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,51,isDestroyed,,,
127,get grammar,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,55,getGrammar,,,
128,get language id,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,59,getLanguageId,,,
129,get non word character,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,63,getNonWordCharacters,,,
130,suggest indent for buffer row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,77,suggestedIndentForBufferRow,,,
131,suggest indent for line at buffer row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,98,suggestedIndentForLineAtBufferRow,,,
132,suggest indent for edited buffer row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,119,suggestedIndentForEditedBufferRow,,,
133,suggest indent for line with scope at buffer row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,151,_suggestedIndentForLineWithScopeAtBufferRow,,,
134,comment string for position,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,185,commentStringsForPosition,,,
135,build highlight iterator,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,203,buildHighlightIterator,,,
136,class name for scope id,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,207,classNameForScopeId,,,
137,get invalidate range,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,223,getInvalidatedRanges,,,
138,on do change highlighting,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,227,onDidChangeHighlighting,,,
139,on do tokenize,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,231,onDidTokenize,,,
140,get grammar selection content,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,235,getGrammarSelectionContent,,,
141,update for injection,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,239,updateForInjection,,,
142,retokenize line,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,253,retokenizeLines,,,
143,start tokenizing,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,265,startTokenizing,,,
144,tokenize in background,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,272,tokenizeInBackground,,,
145,tokenize next chunk,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,282,tokenizeNextChunk,,,
146,mark tokenization complete,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,321,markTokenizationComplete,,,
147,first invalid row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,328,firstInvalidRow,,,
148,validate row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,332,validateRow,,,
149,invalidate row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,336,invalidateRow,,,
150,update invalid row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,342,updateInvalidRows,,,
151,buffer do change,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,354,bufferDidChange,,,
152,buffer do finish transaction,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,378,bufferDidFinishTransaction,,,
153,be foldable at row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,380,isFoldableAtRow,,,
154,build tokenized line for row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,384,buildTokenizedLinesForRows,,,
155,build tokenized line for row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,407,buildTokenizedLineForRow,,,
156,build tokenized line for row with text,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,411,buildTokenizedLineForRowWithText,,,
157,tokenized line for row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,425,tokenizedLineForRow,,,
158,tokenized line for row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,451,tokenizedLinesForRows,,,
159,stack for row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,459,stackForRow,,,
160,open scope for row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,463,openScopesForRow,,,
161,scope from tag,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,472,scopesFromTags,,,
